Feature ID,Comp Type,Sub Theme,Feature Name,Male,Female,Disabled,Unisex,Babychange,Co-ordinates
CPF000306,POINT-PART,Part of Building Public Toilet,"Public Toilet - Victoria Harbour, Shed 2 (North Wharf Road)",Y,Y,Y,N,N,"(-37.8189339517812, 144.934202178163)"
CPF000322,POINT-BUILDING,Other Public Toilet,"Public Toilet - Saint Mangos Lane, The Palladio (New Quay)",Y,Y,Y,N,N,"(-37.814358311416, 144.941682166969)"
CPF000285,PART,Other Public Toilet,"Public Toilet - Fawkner Park, Opposite 55 Commercial Road",Y,Y,Y,Y,N,"(-37.8452065631269, 144.982614431582)"
CPF000307,POINT-PART,Part of Building Public Toilet,"Public Toilet - Victoria Harbour, Shed 3 (North Wharf Road)",Y,N,N,N,N,"(-37.8197959760707, 144.93766540487)"
CPF000313,POINT-BUILDING,Part of Building Public Toilet,Public Toilet - Queen Victoria Market (153 Victoria Street),Y,Y,N,N,N,"(-37.8061214994057, 144.956538442106)"
CPF000287,PART,Other Public Toilet,"Public Toilet - Fawkner Park, Opposite 150W Toorak Road",Y,Y,Y,Y,N,"(-37.838252841705, 144.984389220213)"
CPF000030,PART,Brick Public Toilet,"Public Toilet - Fawkner Park, North Pavilion (Male)",Y,N,N,N,N,"(-37.8401476931975, 144.981383087957)"
CPF000220,PART,Brick Public Toilet,"Public Toilet - Fawkner Park, North Pavilion (Female)",N,Y,N,N,N,"(-37.8400177930356, 144.981227014486)"
CPF000040,PROPERTY,Cast Iron Public Toilet,Public Toilet - Fitzroy Gardens (2 Lansdowne Street),Y,Y,Y,Y,N,"(-37.8152828123298, 144.977593283611)"
CPF000076,PROPERTY,Cast Iron Public Toilet,Public Toilet - Ievers Reserve - Flemington Road,Y,Y,Y,Y,N,"(-37.7967989980576, 144.951966651265)"
CPF000296,POINT-STREET,Underground Public Toilet,Public Toilet - Queen Street (opposite No. 77),Y,N,N,N,N,"(-37.8166780000522, 144.961470824532)"
CPF000310,PROPERTY,Exeloo,Public Toilet - Southbank Promenade (opposite Esso House),Y,Y,Y,N,N,"(-37.8203421290366, 144.964219727982)"
CPF000006,PART,Cast Iron Public Toilet,Public Toilet - Alexandra Park,Y,Y,Y,N,N,"(-37.8276430462779, 144.981811660756)"
CPF000071,PART,Cast Iron Public Toilet,Public Toilet - Flagstaff Gardens (cnr William & Dudley),Y,Y,Y,Y,N,"(-37.8089204751149, 144.955043308784)"
CPF000081,PART,Exeloo,"Public Toilet - JJ Holland Park, Skate Park (113 Kensington Road)",Y,Y,Y,Y,N,"(-37.7980640242272, 144.921105844054)"
CPF000104,PART,Cast Iron Public Toilet,Public Toilet - Powlett Reserve (Opposite 128 Albert Street),Y,Y,Y,Y,N,"(-37.8109423278687, 144.986858739243)"
CPF000153,PART,Brick Public Toilet,Public Toilet - Royal Park Brens Pavilion,Y,Y,N,N,N,"(-37.7862212483872, 144.955000875306)"
CPF000275,PART,Underground Public Toilet,Public Toilet - Gordon Reserve (74-108 Spring Street),N,Y,N,N,N,"(-37.8122407760326, 144.97392555857)"
CPF000403,PART,Other Public Toilet,Public Toilet - Royal Park - Native Garden (off Gatehouse Street),Y,Y,Y,Y,N,"(-37.7925114646045, 144.956851721122)"
CPF000415,PART,Part of Building Public Toilet,Public Toilet - Royal Park Golf Course Club House,Y,Y,N,N,N,"(-37.7818713175365, 144.956142529383)"
CPF000393,PART,Part of Building Public Toilet,Public Toilet - Treasury Gardens (Store and Toilet),Y,Y,Y,N,N,"(-37.8134184349012, 144.977467007735)"
CPF000431,PROPERTY,Brick Public Toilet,Public Toilet - Goschs Paddock (112 Olympic Boulevard),Y,Y,Y,Y,N,"(-37.8243882893988, 144.985662862984)"
CPF000594,PART,Exeloo,Public Toilet - Queen Victoria Gardens (Linlithgow Avenue),Y,Y,Y,Y,N,"(-37.8229482884598, 144.97098568223)"
