Description,Co-ordinates
Drinking Fountain - Treated Timber Drinking Fountain - Eades Park,"(-37.8071507715669, 144.95128453583)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8180379354233, 144.956625283449)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8201820300601, 144.960607945986)"
Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,"(-37.810431066404, 144.955583954922)"
Drinking fountain - Historic or Heritage Drinking Fountains - Warun Biik Park,"(-37.7962259109448, 144.926753237157)"
Drinking Fountain - Treated Timber Drinking Fountain - Lincoln Square,"(-37.8022284908846, 144.962995339626)"
Drinking fountain - unspecified type - Fawkner Park,"(-37.8410538306513, 144.984741591174)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7901987770375, 144.924067691334)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8179066908154, 144.966325711471)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.820002414232, 144.943762558022)"
Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,"(-37.7987999771127, 144.923579544986)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.785579041496, 144.95317138629)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8078639183934, 144.961074349375)"
Drinking Fountain - Concrete Drinking Fountain,"(-37.7784542170728, 144.956035097922)"
Drinking Fountain - Treated Timber Drinking Fountain - Fawkner Park,"(-37.8379130448111, 144.981874024242)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8211836478482, 144.946451410301)"
Drinking Fountain - Treated Timber Drinking Fountain - Gardiner Reserve,"(-37.7989946166656, 144.943386064893)"
Drinking Fountain - Treated Timber Drinking Fountain - Flagstaff Gardens,"(-37.8101099394789, 144.953636255664)"
Drinking Fountain - Treated Timber Drinking Fountain - Parliament Reserve,"(-37.8097972318519, 144.973835252652)"
Drinking Fountain - Treated Timber Drinking Fountain - Sturt Street Reserve,"(-37.8297620432902, 144.965023906624)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8137090016524, 144.965219207312)"
Drinking Fountain - Drinking Fountain - Type 2 - Birrarung Marr,"(-37.8203259277386, 144.975583485863)"
Drinking Fountain - Treated Timber Drinking Fountain - Royal Park,"(-37.7784531243578, 144.956034446784)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8155172600938, 144.939894906542)"
Drinking Fountain - Drinking Fountain - Lygon St Type,"(-37.8005648545151, 144.966845427488)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8103390595552, 144.972423978708)"
Drinking fountain - Historic or Heritage Drinking Fountains - Grant Street Reserve,"(-37.8260191227729, 144.96821302912)"
Drinking Fountain - Treated Timber Drinking Fountain - Batman Park,"(-37.8218641077308, 144.957262174812)"
Drinking fountain - Historic or Heritage Drinking Fountains - Liddy Street Reserve (KENSINGTON),"(-37.7900968622631, 144.925755956774)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8190677360715, 144.954519784826)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8176596635148, 144.946278712192)"
Drinking Fountain - Treated Timber Drinking Fountain - Fitzroy Gardens,"(-37.8135869679778, 144.980340539859)"
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.8069631673755, 144.970975333101)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8072589158374, 144.94696422855)"
Drinking Fountain - Treated Timber Drinking Fountain - Fawkner Park,"(-37.8386331437282, 144.978059413628)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8146951829793, 144.938477376119)"
Drinking Fountain - Treated Timber Drinking Fountain - Bellair Street Reserve,"(-37.7955251967576, 144.93076737696)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8020149628465, 144.957826347421)"
Drinking Fountain - Drinking Fountain - Type 2 - Enterprize Park,"(-37.8199982974538, 144.959797443838)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8133404023725, 144.966652766471)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7920686414837, 144.929751385287)"
Drinking Fountain - Drinking Fountain - Monument Style Type 3,"(-37.8184030405084, 144.978859348092)"
Drinking fountain - Historic or Heritage Drinking Fountains - Shrine Gardens,"(-37.8324980002738, 144.97285892461)"
Drinking Fountain - Treated Timber Drinking Fountain - Treasury Gardens,"(-37.8143785287805, 144.976124010635)"
Drinking fountain - unspecified type - Princes Park,"(-37.7836624497961, 144.959998635201)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8178349467129, 144.959340358155)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.810438177723, 144.964098035729)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8121199672838, 144.962426456737)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7912512068003, 144.931475768937)"
